退出中共|Quit CPC
两会的气氛+薄熙来倒台+对中共而言|Atmosphere of Two Sessions + Bo Xilai's Downfall + To CCP
薄熙来路线+习近平+区别於邓江胡|Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)
薄熙來路線+習近平+區別於鄧江胡|Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)
中共的黑幕+政治独裁+雾霾和雷阳案|CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang
中共的黑幕+政治獨裁+霧霾和雷陽案|CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang
习近平+崇毛情结+搏取上位+高层内斗|Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership
習近平+崇毛情結+搏取上位+高層內鬥|Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership
薄熙来不垮台+保住身家+权力分配+习近平|Bo Xilai Weren't Overthrown + Keep their wealth + Power Distribution + Xi Jinping
中共+权力斗争+政变|CCP + Power Struggle + Coup
薄熙来倒台+习近平时代+搞权力斗争|Bo Xilai's downfall + Xi Jingping's Era + Power Play
习薄斗争+尤其毛左派+遭到报复|Xi (Jinping) Bo (Xilai)'s Fight + Especially Mao Leftist + Face Retaliation
集体自卫+中共一直利用+军事化辩护|Collective Self-Defense + CCP Has Been Exploiting + Defend Its Militarization (in South China Sea)
中共御用网络+习近平+袒护金家王朝|CCP's Special Internet (Commentator) + Xi Jinping + Shield the Kim Dynasty
中国官方媒体+号召民众+抵制韩货+民众报复|China's State Media + Call for pelple + To Boycott Korean goods + Retaliated by people
卜睿哲+习近平选择+朴槿惠等了很久|Richard Bush III (Said) + Xi Jinping Chose to + Let Park Geun-hye Wait Long
卜睿哲+习近平的态度+形成鲜明对比|Richard Bush III (Said) + Xi Jinping's Attitude + Forms Sharp Contrast 
毒害学生+培育民族仇恨+洗脑教育|Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education
毒害學生+培育民族仇恨+洗腦教育|Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education
郭文贵+爆料|Guo Wengui + Expose 
郭文貴+爆料|Guo Wengui + Expose 
郭文贵+专访|Guo Wengui + Interview 
郭文贵+电视|Guo Wengui + Television 
郭文贵+习近平|Guo Wengui + Xi Jinping
郭文贵+吴征|Guo Wengui + Wu Zheng
明镜+郭文贵|Mingjing (News) + Guo Wengui
郭文贵+贺国强|Guo Wengui + He Guoqiang
郭文貴+賀國強|Guo Wengui + He Guoqiang
郭文贵+李源潮|Guo Wengui + Li Yuanchao
郭文貴+李源潮|Guo Wengui + Li Yuanchao
郭文贵+令计划|Guo Wengui + Ling Jihua
郭文贵+中共|Guo Wengui + CCP
两会是一场政治秀+政治斗争+习近平|Two Sessions Is A Political Show + Potical Struggle + Xi Jinping
兩會是一場政治秀+政治鬥爭+習近平|Two Sessions Is A Political Show + Potical Struggle + Xi Jinping
习近平+知识界的压制太狠+恶劣印象|Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression
習近平+知識界的壓制太狠+惡劣印象|Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression
习近平+压制言论+自己的政权带来巨大威胁|Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime
習近平+壓制言論+自己的政權帶來巨大威脅|Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime
李克強+辭職|Li Keqiang + Resign
习近平+巩固自己的权力+技术官僚总理|Xi Jinping + Consolidate His Own Power + Technocrat Primer 
習近平+鞏固自己的權力+技術官僚總理|Xi Jinping + Consolidate His Own Power + Technocrat Primer 
习近平+按照自己的设想+没有实权的虚位|Xi Jinping + Follow his own visions + A Position without Real Power
習近平+按照自己的設想+沒有實權的虛位|Xi Jinping + Follow his own visions + A Position without Real Power
接替李克强+习近平的亲信+中共|Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP
接替李克強+習近平的親信+中共|Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP
没有制定民法典+德国之声+从摇篮到坟墓|Hasn't Made Civil Code + Desutsche Welle + From Cradles to Grave 
沒有制定民法典+德國之聲+從搖籃到墳墓|Hasn't Made Civil Code + Desutsche Welle + From Cradles to Grave 
批评指向+一把手习近平+雏形基本|Criticism is directed at + Head (or the Party) Xi Jinping + Embroynic Form (of Economic reforms) 
批評指向+一把手習近平+雛形基本|Criticism is directed at + Head (or the Party) Xi Jinping + Embroynic Form (of Economic reforms) 
迅速倒退+习近平难保+政权还能坐得稳|Go Backwards Quickly + Xi Jinping cannot guarantee + Regime is stable (no more)
德国之声+要求北京对朝鲜+中国大为不满|Deutsche Welle + (Washington) Demands Beijing to (Curb) North Korea + China Is Discontent
德國之聲+要求北京對朝鮮+中國大爲不滿|Deutsche Welle + (Washington) Demands Beijing to (Curb) North Korea + China Is Discontent
北京试图在台湾+制造混乱+共谍渗透国防|Beijing Tries to In Taiwan + Create Chaos + Communist Spy Infiltrates National Defence 
中共党魁+江泽民|CCP Party Leader + Jiang Zemin
习特勒 |Xitler
两会+习近平+政治斗争 |Two Sessions + Xi Jinping + Politial Struggle
口头上谈改革+紧紧抓住权力+习近平|Talked about Reform + Grips on Power + Xi Jinping
周强+习近平+团派 |Zhou Qiang + Xi Jinping + Tuan Pai
逃离中国+经济衰退+最大疑问+习近平|Flee China + Economic Slowdown + biggest questions + Xi Jinping
郭+贺国强|Guo (Wengui? Shuqing?) + He Guoqiang
江绵恒+纪委|Jiang Mianheng + Party Discipline and Inspection Committee
习家军+大权独揽+十九大|Xi's Army + Hold All Power + 19th Party Congress
郭+李源潮|Guo (Wengui?) + Li Yuanchao
中間道路+達賴喇嘛|Middle Way + Dalai Lama
習特勒 |Xitler
杀习大大|Kill Uncle Xi
殺習大大 |Kill Uncle Xi
十九大+王岐山+总理 |19th Party Congress + Wang Qishan + Premier
曾庆红+江系+清理|Zeng Qinghong + Jiang Clinque + Clean Up 
总理+公开信|Premier + Open Letter
抓捕+江澤民|Arrest + Jiang Zemin
趙紫陽+鄧小平+鎮壓學生|Zhao Ziyang + Deng Xiaoping + Suppress Student
被抓+曾慶紅|Arrested + Zeng Qinghong
總理+公開信|Premier + Open Letter
王宇律师+撬门|Lawyer Wang Yu + Break In 
团派+十九大+江派 |Tuan Pai + 19th Party Congress + Jiang Clinque
དུས་དབང+གོང་ས་༸ |
薄熙来不垮+政敌+李克强|Bo Xilai Doesn't Fall + Political Enemy + Li Keqiang
支持香港+占领中环 |Support Hong Kong + Occupy Central
江派+上海帮+太子党 |Jiang Clinque + Shanghai Clique + Princelings
政治斗争+习包子|Political Struggle + Xi Bun
郭+賀國強 |Guo + He Guoqiang
被删除+江绵恒+谭晶|Deleted + Jiang Mianheng + Tan Jing
郭+明镜|Guo (Wengui) + Ming Jing (News)
温家宝+政变+江派 |Wen Jiabao + Coup + Jiang Clinque
薄熙来+李克强+政敌 |Bo Xilai + Li Keqiang + Political Enemy 
胡锦涛+权力+被架空|Hu Jintao + Power + fallen into the hands of others
江澤民+迫害+控告|Jiang Zemin + Torture + Accuse 
学潮+镇压学生+赵紫阳|Student Movement + Crackdown on Students + Zhao Ziyang
毛泽东+大权独揽+屠杀|Mao Zedong + All Power In Hands + Murder
李鹏+大老虎+温家宝|Li Peng + Big Tiger + Wen Jiabao
赵紫阳+披露+邓小平 |Zhao Ziyang + Expose + Deng Xiaoping
戒严部队+天安门广场+学潮 |Martial Law Troup + Tiananmen Square + Student Movement
坦克+王维林+天安门 |Tank + Wang Weilin + Tiananmen
令计划+调查+芮成钢|Ling Jihua + Investigate + Rui Chenggang
文革+红军+镇压+德国之声|Culture Revolution + Red Army + Crackdown  + Deutsche Welle
江家帮+上海帮+太子党|Jiang Family Clique + Shanghai Clique + Princelings
戒严+赵紫阳+遭到+软禁 |Martial Law + Zhao Ziyang + Faced Wtih + House Arrest
人權律師+酷刑+打壓+中國政府|Human Rights Lawyer + Torture + Crackdown + Chinese Govt
习包子+铜锣湾书店 |Xi Bun + Causeway Bay Bookstore
引咎辭職+敦請周強院長+谨以公民身份|Resign for wrongdoings + Urge Chief Justice Zhou Qiang + As A Citizen
中共當局+政治犯+藏人|CCP Authorities + Political Criminal + Tibetan
李源潮+上海幫+團派|Li Yuanchao + Shanghai Clinque + Tuan Pai 
李源潮+上海帮+团派|Li Yuanchao + Shanghai Clinque + Tuan Pai 
胡錦濤+江派|Hu Jintao + Jiang Clinque
胡锦涛+江派|Hu Jintao + Jiang Clinque
李克强+十九大+习家军|Li Keqiang + 19th Party Congress + Xi's Army
王岐山+總理+十九大|Wang Qishan + Premier + 19th Party Congress
胡锦涛+曾庆红+被抓|Hu JIntao + Zeng Qinghong + Arrested
胡錦濤+曾慶紅+被抓|Hu JIntao + Zeng Qinghong + Arrested
黄奇帆+国务院秘书长+联合早报|Huang Qifan + State Council Secretary + Lianhe Zaobao
胡春华+失势+团派|Hu Chunhua + Lose Power + Tuan Pai
喊冤+周永康+政变 |Express Mistreatment + Zhou Yongkang + coup
權力+被架空+胡錦濤|Power + Falled into Others' Hands + Hu Jintao
曾庆红+令计划+江派|Zeng Qinghong + Ling Jihua + Jiang Clinque
屠杀+藏人 |Murder + Tibetan
曾慶紅+中共權鬥|Zeng Qinghong + CCP Power Struggle
曾庆红+中共权斗|Zeng Qinghong + CCP Power Struggle
包子+中国梦+大撒币|(Xi) Bun + China Dream + Stupidity 
高瑜+普世价值+七不讲+泄露|Gao Yu + Universal Values + Seven Don'ts + Leak
团派+落马+胡锦涛|Tuan Pai + Sacked + Hu Jintao
推翻共产党+颜色革命+港独|Overthrown CPC + Color Revolution + HK Independence
包子+宽衣+大撒币|Xi (Bun) + Loosen Clothes + Stupidity 
迫害+洗脑+邪党+暴政|Witch Hunt + Brainwash + Evil Party + Totalitarian
七上八下+中共+十九大|7(0) Up & 8(0) Down + CPC + 19th Party Congress
中共+1989+屠杀+专制|CPC + 1989 + Murder + Autocracy
གོང་ས+དུས་དབང |
李鹏+天安门+戒严+绝食|Li Peng + Tiananmen + Martial Law + Hunger Strike
中共当局+迫害+秦永敏 |CCP Authorities + With Hunt + Qin Yongmin
屠杀+中共专制+1989|Murder + CCP Authoritarian (regime) + 1989
中共+一党独裁+洗脑 |CCP + One-Party Autocracy + Brainwash
云南省长+宽衣+镇越铁路 |Leader of Yunnan Province + Loosen your clothes + Zhen Yue Railway
江派+太子黨+團派 |Jiang Clique + Princeling + Tuan Pai
打压+人权律师+中国政府+酷刑|Crackdown + Human Rights Lawyers + Chinese Govt + Torture
打壓+人權律師+中國政府+酷刑|Crackdown + Human Rights Lawyers + Chinese Govt + Torture
中间道路+达赖喇嘛 |Middle Way + Dalai Lama
中間道路+達賴喇嘛 |Middle Way + Dalai Lama
王岐山留+七上八下+江系|Wang Qishan Stays + 7(0) Up 8(0) Down + Jiang Clique
爆料+郭|Expose + Guo (Wengui)
薄熙来+江派+清洗 |Bo Xilai + Jiang Clique + Cleanse 
Xi+Jianhua+corruption+abducted|
镇压学生+军队+李鹏|Crackdown on Student + Army + Li Peng
太子黨+江澤民+暗殺|Princeling + Jiang Zemin + Assassinate 
政敌+王岐山+取代李克强|Political Enemy + Wang Qishan + Replace Li Keqiang
周永康+亲信+江泽民+反腐|Zhou Yongkang + Trusted Aide + Jiang Zemin + Anti-corruption
天安门广场+绝食+赵紫阳+戒严|Tiananmen Square + Hunger Strike + Zhao Ziyang + Martial Law
港独+颜色革命+推翻共产党|HK Independence + Color Revolution + Overthrow CPC
强迫性的残害+中国政府+节育器|Forced Torture + Chinese Govt + IUD
令计划+亲信+胡锦涛|Ling Jihua + Trusted Aide + Hu Jintao 
高层公开+习包子+斗争|High-level leadership publicize + Xi Bun + Fight
团派+江系+邓小平|Tuan Pai + Jiang Clique + Deng Xiaoping
下台+张德江+清洗+江派 |Resign + Zhang Dejiang + Cleanse + Jiang Clique
洗脑+89民运+独裁统治|Brainwash + 89 Democracy Movement + Autoritarianism
温家宝家族财富+中共高层|Wen Jiabao's family wealth + CCP High-lever Leader
团派+李源潮+太子党 |Tuan Pai + Li Yuanchao + Princeling
政治斗争+令计划+中共高层|Political Fight + Ling Jihua + CPC High-level Leader
习家军+红二代+王建平|Xi's Army + Second Red Generation + Wang Jianping
習家軍+紅二代+王建平|Xi's Army + Second Red Generation + Wang Jianping
周强下台+法学界人士+联名要求|Zhou Qiang Resigns + Law Professional + Co-signatory 
牺牲品+权斗+中共高层 |Sacrifice + Power Struggle + CPC High-level Leader
中共+武力镇压+1989年|CPC + Military crackdown + 1989 Year
破灭中共|Destory CPC
习李+内斗+曝光|Xi (Jinping) Li (Keqiang) + Inner Struggle + Expose
赵紫阳+镇压学生+邓小平|Zhao Ziyang + Crackdown on Students + Deng Xiaoping
趙紫陽+鎮壓學生+鄧小平|Zhao Ziyang + Crackdown on Students + Deng Xiaoping
专制独裁+毛粉+毛泽东发动 |Authoritarian + Mao's Follower + Mao Zedong Launched
专制独裁+新闻自由+毛泽东 |Authoritarian + Freedom of Press + Mao Zedong
政变+大老虎+江泽民 |Coup + Big Tiger + Jiang Zemin
亲信+江系+江泽民|Trusted Aide + Jiang Clique + Jiang Zemin
梁小军+刘晓波+煽动颠覆|Liang Xiaojun + Liu Xiaobo + Incite Subversion
批评政府+梁小军+权平|Criticize Govt + Liang Xiaojun + Kwon Pyong
共产党腐败|CPC Currption
退团+退队+退党|Quit the League + Quit The Young Pioneers + Quit the Party
团派+红二代+曾庆红|Tuanpai + Second Red Generation + Zeng Qinghong
1989年+镇压学生|1989 Year + Crackdown on Student
文革+德国之声+镇压|Culture Revolution + Deustche Welle + Crackdown
贪腐+李源潮+团派|Corruption + Li Yuanchao + Tuan Pai
疯狂维稳+剥夺+体制外|Crazily Maintain Stability + Strip off + Outside the system
郭文贵+家族|Guo Wengui + Family 
銀行卡復制器"|Bank card replicating machine
#8964|# 8964
#tiananmen|# tiananmen
%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e|% 49% 6d% 41% 67% 45% 2e% 30% 48% 41% 70% 70% 79% 2e% 63% 6e
%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e|% 69% 6d% 61% 67% 65% 2e% 30% 68% 61% 70% 70% 79% 2e% 63% 6e
*(^$|8964
#NAME?|#NAME?
..\..\|.. \ .. \
08xianzhang|Charter 08
08憲章|Charter 08
08县长|Homonym for Charter 08
1 3 0|
1 3 3|
1+3|1 +3
1/9/8/9|1/9/8/9
10+10TH FEB|February 20 
10000|10000
12号院|Building No. 12
130|
133|
163|
16大|Sixteenth Party Congress
18+延期|18 + postpone
18大| 18th National Congress of the Communist Party of China
18大+薄|18big + Bo
18禁|18 ban
18禁成人游戏|18 adult game ban
18禁情色电影|18+ porn
18禁色情电影|18+ porn
18岁禁入|18 years +
18岁情妇|18-year-old mistress
1959年|1959
1989|1989
198964|1989, June 4
1989年|1989
1989天安门|1989 Tiananmen
1989天安門|1989 Tiananmen
1D专正| One party dictatorship
1玖8玖| 1989
1元假硬币|Counterfeit 1 yuan coins
200+活埋|200 + bury alive
2000+大禹治水|2000 + Yu the Great Controls the Waters
2003年香港七一游行|2003 July march in Hong Kong
2005年5月|May-05
2007年區議會選舉|2007 District Council Election
2008年藏人抗议事件|2008 Tibetan protests
2008年藏人抗議事件|2008 Tibetan protests
2010-2011年突尼|Tunisia 2010-2011
2010年诺贝尔和平奖|2010 Nobel Peace Prize
2011年陸豐烏坎事件|2011 Lufeng Wukan
2012年藏区骚乱|2012 Tibetan riots
2012年人類滅亡說|2012, said human extinction
2012年双普选|2012 dual universal suffrage
2012年雙普選|2012 dual universal suffrage
2013年雅安地震|2013 earthquake in Ya'an
20th_anniversary_Tiananmen_square_incident_march|20th_anniversary_Tiananmen_square_incident_march
20周年网络大会|20th Anniversary Internet Meeting
21世纪成人在线|21st Century Adult Online
21世纪中国基金会|
22号院|Building No. 22
22周年|22 year anniversary
23|23
2453605542|2453605542
24集团军|24 Army
24年|24 years
24人通缉令|24 arrest warrants
24周年|24th anniversary
258个月|258 months 
25years|25years
25年|25 years
25周年|25th anniversary
25周年纪念|25th anniversary commemoration
27+美元|27 + U.S. dollars
27亿|2.7 billion
289|289
2B|2B
2的6次方|2 ^ 6  = 64
301|301
319政变|March 19 Coup
32x2|32x2
35|35
35号院|Building No. 35
38军|38th Army
38军＋贾|38 military [divisions] + Jia
38軍|38 Jun
39军|39 Jun
3D成人电影|3D adult movies
3P|Threesome
3P视频|  video
3\.19|
3号套餐|Combo number 3
3人被甩出|Three people were thrown out
3月13日|March 13th
3月20日|March 20th
3月6日集会|March 6 rally
3唑仑|3 alprazolam
4|4
4-Jun|
425|
45mm铅弹出售|45mm pellet sell
4月03日|Apr-03
4月3日|April Third
500余人＋贾|over 500 people + Jia
512大地震|512 Earthquake
51uc|
51uc-address|
51uc-admin|
51uc-administrator|
51uc-album|
51uc-antivirus|
51uc-bbs|
51uc-bj|
51uc-bookmark|
51uc-ceo|
51uc-chat|
51uc-club|
51uc-clubs|
51uc-default|
51uc-demo|
51uc-doc|
51uc-dos|
51uc-download|
51uc-faq|
51uc-fee|
51uc-finance|
51uc-forum|
51uc-ftp|
51uc-game|
51uc-games|
51uc-it|
51uc-mail|
51uc-master|
51uc-member|
51uc-net|
51uc-news|
51uc-office|
51uc-op|
51uc-people|
51uc-pop|
51uc-pop3|
51uc-search|
51uc-server|
51uc-superadmin|
51uc-sys|
51uc-test|
51uc-user|
51uc-vip|
51uc-virus|
51uc-web|
51uc-webmaster|
51uc-webmastercn|
51uc-windows|
51ucaddress|
51ucadmin|
51ucadministrator|
51ucalbum|
51ucantivirus|
51ucbbs|
51ucbj|
51ucbookmark|
51ucceo|
51ucchat|
51ucclub|
51ucclubs|
51ucdefault|
51ucdemo|
51ucdoc|
51ucdos|
51ucdownload|
51ucfaq|
51ucfee|
51ucfinance|
51ucforum|
51ucftp|
51ucgame|
51ucgames|
51ucit|
51ucmail|
51ucmaster|
51ucmember|
51ucnet|
51ucnews|
51ucoffice|
51ucop|
51ucpeople|
51ucpop|
51ucpop3|
51ucsearch|
51ucserver|
51ucsuperadmin|
51ucsys|
51uctest|
51ucuser|
51ucvip|
51ucvirus|
51ucweb|
51ucwebmaster|
51ucwebmastercn|
51ucwindows|
54狗qq|54 dog  qq
54气狗QQ|  QQ
54式|54 style
5M党|5M party
5毛党| 
5美分党|5 dime party 
5月35号|
5月35日|May 35th
5月4日+散步|May Fourth+take a walk
5月4日+示威|May Fourth+demonstrate
5月三十五|May 35 
6|6
6+1|6 +1
6+1栏目组|6+1 column group
6+4|6+4
6-4tianwang|
610办公室|office 610
610辦公室|Office 610
61过后三天|61 three days later
61后三天|61 three days later
61三天后|61 three days later 
61之后三天|61 three days later
63+1|63+1
64|64
64 学生|June 4 Students
64+24|64+24
64+开枪|64+open fire
64+屠杀|64+massacre
64memo|
64反共产党|June 4 anti-communist
64狗qq|  qq
64气狗QQ|  QQ
64事件|64 Incident
64屠城|June 4 massacre
64学潮|64 student strike
64学运|64 student movement
64运动|64 movement
65-1|65-1
65军|65 Jun
66455部队|66,455 troops
68appy%|68appy%
6·4|6.4
6和采|Mark Six 
6和彩|Mark Six 
6合彩|Mark Six 
6四|6 four
6月04日|Jun-04
6月的第4天|The 4th day of June
6月的第四天|4th day of June
711|711
71遊行|71 march
722|
77|77
7周年|7th anniversary
8|8
8341部队|8341 troops
88+1|88 +1
89|89
89 天安门|89 Tiananmen
89+(任意字符)|89+
89+动乱|89+unrest
89-64cdjp|
8964|8964
89动乱|
89民运|89 people's movement
89事件|89 incident
89学潮|89 student strike
89学运|89 student movement
89运动|89 movement
8qb4|8964 
8x8|8x8
8的平方|square of 8
8玖|89 
8宪章|
9|9
918|September 18 [1931]
92狗qq|  qq
92气狗QQ|  QQ
92式|Type 92
92手槍54式手槍|92 hand gun 54 style hand gun
92手狗QQ|QSZ-92 Handgun QQ
95式自动步枪|QBZ-95
97ai|97ai
97gan|97gan
97gao|97 high
97isese|97 I'm kinky kinky
97se|97se
97wen|97wen
97爱|97 Love
97干|97 dry
97色|97 kinky
97吻|97 kisses
9ping|Nine commentaries
9评|Nine Commentaries
9评 共产党|9 Commentaries
9評|Nine commentaries
??|
AV激情视频|AV passionate video
Anti-CNN|Anti-CNN
A片|Adult movie or porn
A片下载|Downloading porn
BBC|BBC
BBC新闻网|BBC News
BBC中文网|BBC Chinese Net
BLOOD|BLOOD
BL动画|BL animation
BO|BO
BT黄色|British porn
BT情色|BT Erotic
BXL|BXL
Baby Mama Drama|Baby Mama Drama
Blood is on the square|Blood is on the square
Bloomberg|Bloomberg
B〇稀莱|Homonym for Bo Xilai
B样|
CAO|CAO
CCAV|CCAV
CCNA代考语|.
CCP|CCP
CCTV|China Central Television
CDMA|
CG诚|CG Cheng
CHANCE TO TAKE ACTIONS|CHANCE TO TAKE ACTIONS
CIPFG|Coalition to Investigate the Persecution of Falun Gong in China
CLY|CLY
CNN|CNN
CNTV|CNTV
Charter_08|Charter_08
Chen_Guangcheng|Chen_Guangcheng
Citizens+Movement|Citizens+Movement
Crown_Prince_Party|Crown_Prince_Party
C光C|C Guang C
DVD电影在线播放|Play DVD movies online
DXP|DXP
Dalai|Dalai
Dalai_Lama|Dalai_Lama
D的领导|D's leadership
D的嘴脸|D's countenance
East_Turkestan_Independence_Movement|East_Turkestan_Independence_Movement
Evolution|Evolution
E夜情|E-night
FA-luen|Falun Gong
FLG|Falun Gong
FL大法|Falun Gong or Falun Dafa
FL功|Falun Gong
FM2 药|Flunitrazepam 
FaceBook|FaceBook
Facebook|Facebook
Facebook+办公室|Facebook+office
Facebook+办事处|Facebook+office
Feng丛德|Feng Congde 
Flag_of_Tibet|Flag_of_Tibet
FlexiSPY|FlexiSPY
FlexiSpy PRO|FlexiSpy PRO
FlexiSpy下载|FlexiSpy Download
Flexispy官网|Flexispy official website
Flexispy破解版|Flexispy cracked version
Flickr|Flickr
Freeweibo|Freeweibo
F輪功|Falun Gong
G F W|G F W
GC|GC
GCD|Gong Chan Dang 
GCP|Gong Chan Party 
GD|GD
GF|GF
GFW|GFW
GJ|GJ
GKL|GKL
GM提示|GM tip
GONG党|Chinese for CPC
GONHCHAN党|Chinese for CPC
GSK|GSK
GV链接|GV Link
GWY|GWY
Gcd下台|Gong Chan Dang  step down
Gong产|Chinese for CPC
Google|Google
Google审查|Google Review
Great_Wall_Of_China|Great_Wall_Of_China
G缠谠| Gong Chan Dang 
G产|Chinese for CPC
G档|Chinese for CPC
G点高潮|G-spot climax
G匪|Communist bandits/robbers/gang
G狗|G Dog
G将军＋出逃|G General + flee
HU锦套|HU Embroidered-Set
HU主|HUzhu
Han dongfang|Han dongfang
HeGuoqiang|HeGuoqiang
Hgame|Hgame
Hohhot|Hohhot
Hu_Jintao_Biography|Hu_Jintao_Biography
H漫|H comics 
I Ⅸ Ⅷ Ⅸ|I ? ? ?
I-Doser|I-Doser
ICIJ|ICIJ [International Consortium of Investigative Journalists]
IED炸弹制作|IED bomb-making
IIXVIIIIX|IIXVIIIIX
IP封锁|IP Blocking
J8|Possibly a reference to the Hainan Island incident in which a U.S. Navy EP-3E ARIES II collided with a Chinese J8.
JB|.
JC|JC
JMZ|JMZ
JUNE4事件|June 4 incident
JZ民|Jiang Zemin
Jasmine|Jasmine
Jasmine_Revolution_in_China|Jasmine_Revolution_in_China
Jasmine革命|Jasmine Revolution
Jonathan Mirsky＋网站|Jonathan Mirsky+website
Jun 4th|Jun 4th
Jun+4th|Jun+4th
June 4th|June 4th
June_4th|June_4th
J总病危|Chief Jiang critically ill
KTV小姐|Karaoke ladies
K粉|K powder
K他命|K vitamin or Ketamine
L X B|Liu Xiaobo
LUO聊|LUO chat
LUO体视频|LUO body video
LWY|LWY
Liu Xiaobo|Liu Xiaobo
Liu_Xianbin|Liu_Xianbin
Liu_Xiaobo|Liu_Xiaobo
Liusishijian|Liusishijian
Li战书|Li Zhanshu
MM兼职|Part-time MM 
MM上门|House call prostitutes
MT 虎牙| MT tiger tooth
MT-虎牙专卖|Specialized in selling MT tiger tooth 
Mao_The_Unknown_Story|Mao_The_Unknown_Story
N-乙酰邻氨基苯酸|N-acetyl-anthranilic acid
NBR|NBR
NF|NF
NY|NY
Neil Wood|Neil Wood
New York Times|New York Times
Nick Haywood|Nick Haywood
ONS交友|ONS Personals
ONS俱乐部|ONS Club
ONS开放俱乐部|ONS open club
ONS论坛|ONS Forum
ONS社区|ONS community
PCP专卖|Specialized in selling PCP
PKUsych|PKUsych
PLA|PLA
PRISONER|PRISONER
PX|PX 
PZQ|PZQ
Piperonal|Piperonal
Princeling|Princeling
Pseudoephedrine|Pseudoephedrine
P民报|P People News
P眼| representing the pinyin for 屁
Q Q|Q Q
QD|QD
QVOD激情电影|QVOD passionate movies
QVOD幼交片|QVOD youth porn
QVOD援交片|QVOD compensated dating video
Qvod情色电影|Qvod porn
Q东|QDong
Rabiye Qadir| Rabiya Kadeer
Rebiya_Kadeer|Rebiya_Kadeer
Revolution|Revolution
SB|SB
SEX性吧有你| Sex bar there is you
SIX-FOUR|SIX-FOUR
SM工具|SM Tools
SM交友|SM Personals
SM男奴|SM male slave
SM女王|SM Queen
SM器具|SM appliances
SM图片|SM Pictures
SM玩法|SM play
SM网站|SM website
SM一族|SM group
SM用品|SM Accessories
SM游戏|SM games
SM资讯|SM Information
Sassafros Oil|Sassafros Oil
SexInSex|SexInSex
Sky安gate|Tiananmen
SlNA|SlNA
Sourceforge|Sourceforge
Students_for_a_Free_Tibet|Students_for_a_Free_Tibet
Sundayrally|Sundayrally
Szeto_Wah|Szeto_Wah
TAM|TAM
TAM事件|Tiananmen incident
TNT买卖|Buying and selling TNT
TOR|TOR
Tank_man|Tank_man
Tenzin_Gyatso|Tenzin_Gyatso
The Soviet Story|The Soviet Story
The Tank Man|The Tank Man
Tiananmen_Massacre|Tiananmen_Massacre
Tiananmen_Papers|Tiananmen_Papers
Tiananmen_Square_protests_of_1989|Tiananmen_Square_protests_of_1989
Tibet|Tibet
Tibet free|Tibet free
Tibetan_Independence_Movement|Tibetan_Independence_Movement
Tokyo-Hot|Tokyo-Hot
Tor|Tor
Tpimage|Tpimage
Twitter|Twitter
UA898|UA898
UC-公告|UC Announcement
UC高管|UC executives
UC工作人员|UC staff
UC官方|UC official website
UC后台小组| UC background small group
UC活动|UC activity
UC通知|UC notification
UC系统|UC system
UC信息员|UC information officer
UC巡管|UC patrol officials
UC员工|UC worker
UltraSurf|
Ultrareach|Ultrareach
Ultrasurf|Ultrasurf
VI IV|VI IV
VIII|VIII
VIII IX VI IV|VIII IX VI IV
VIIIIX VI IV|VIIIIX VI IV
VIIV|VIIV
WEI权|Rights protection
WK|WK
WLJ|WLJ
WU鲁mu齐|Urumqi City
WikiLeaks|WikiLeaks
Wikipedia|Wikipedia
World Uyghur Congress|World Uyghur Congress
XI|XI
XJB|XJB
XJP|XJP
XMLHTTP|XMLHTTP
Xilai|Xilai
Xwodi破解软件|Xwodi cracking software
X产党|Commun-x Party
X近平|XJinping
X卧底第四代|Xwodi fourth generation
YHWH|YHWH
YOUTUBE|YOUTUBE
YouTube|YouTube
Yuanchao|Yuanchao
ZD|ZD
ZG|ZG
ZHU所生！|what ZHU gave birth to!
ZYK|ZYK
Zhengsheng|Zhengsheng
Zhou Yongkang|Zhou Yongkang
Ziyang|Ziyang
^\s*dongtaiwang\s*$|
^\s*download freegate\s*$|
^\s*dynaweb\s*$|
^\s*freegate download\s*$|
^\s*freegate\s*$|
^\s*nuctech\s*$|
^\s*动网通\s*$|
^\s*海峰\s*$|
^\s*自由门\s*$|
^\s*自由門\s*$|
^\s*逍遥游\s*$|
^bignews|
^boxun|
^cache|
