退出中共|Quit CPC
習近平+納那亞卡拉分析+腐敗的根源|Xi Jingping + Nanayakkara Analyzed + Roots of Corruption
网络黑屋子+中国政府+审查和控制|Internet Black House + Chinese Govt + Censroship and Control
胡春华+陪同下逛西湖路花市+习近平正面支持|Hu Chunhua + Walk Around Xihu Road Flower Market under Accompany + Xi Jinping Positive Support
高调曝光+习近平的正面+十九大前奏|High-profile exposure + Xi Jinping's Positive (Support) + Prelude to 19th Party Congress
胡春華+陪同下逛西湖路花市+習近平正面支持|Hu Chunhua + Walk Around Xihu Road Flower Market under Accompany + Xi Jinping Positive Support
高調曝光+習近平的正面+十九大前奏|High-profile exposure + Xi Jinping's Positive (Support) + Prelude to 19th Party Congress
谢阳刑讯逼供+控告后援团|Xie Yang Extorted a Confession by Torture + Accusations Back Up
謝陽刑訊逼供+控告後援團|Xie Yang Extorted a Confession by Torture + Accusations Back Up
春晚+愚民工程+萎大的奴隶制度|Spring Festival Gala + Fool Citizens Project + Withered Slavery
春晚+愚民工程+萎大的奴隸制度|Spring Festival Gala + Fool Citizens Project + Withered Slavery
自焚抗议+达赖喇嘛+中共+人权|Self-Immolation Protest + Dalai Laima + CCP + Human Rights
中共当局+摧毁西藏+支持西藏|CCP Authorities + Destroy Tibet + Support Tibet
上海帮+团派+习近平|Shanghai Clique + Youth League Faction + Xi Jinping
包括春晚+威权国家+寄生宿主|Spring Festival Gala Included + Authoritarian State + Parasitic Host
包括春晚+威權國家+寄生宿主|Spring Festival Gala Included + Authoritarian State + Parasitic Host
facebook+习近平+开户|facebook + Xi Jinping + Opened an Account
被抓+肖建华+香港|Arrested + Xiao Jianhua + Hong Kong
被抓+肖建華+香港|Arrested + Xiao Jianhua + Hong Kong
abducted+corruption+Chinese+Jianhua|
陈破空+清算VPN+诸如六四周年|Chen Pokong + Crackdown on VPN + June 4 Anniversay For Example
封杀VPN+习近平完成集权+十九大|Block VPN + Xi Jinping Finishes Cosolidating Power + 19th Party Congress
封殺VPN+習近平完成集權+十九大|Block VPN + Xi Jinping Finishes Cosolidating Power + 19th Party Congress
谢阳+陈建刚+被抓捕+被审讯|Xie Yang + Chen Jiangang + Arrested + Interrogated 
谢阳+指定监视居住+轮班审讯|Xie Yang + Residential Confinement at Designated Residence  + Take TShift to Intrerogate
謝陽+指定監視居住+輪班審訊|Xie Yang + Residential Confinement at Designated Residence  + Take TShift to Intrerogate
文化大革命+精神是自由的+谢阳本人无罪|Cultural Revolution + Spirits Are Free + Xie Yang Myself Innocent
文化大革命+精神是自由的+謝陽本人無罪|Cultural Revolution + Spirits Are Free + Xie Yang Myself Innocent
肖建华+习|Xiao Jianhua + Xi (Jinping)
肖建華+習|Xiao Jianhua + Xi (Jinping)
六四+肖建华|June 4 + Xiao Jianhua
被控制+肖建华+明天系|Controlled + Xiao Jianhua + Tomorrow Group
被控制+肖建華+明天系|Controlled + Xiao Jianhua + Tomorrow Group
肖建华+八九民运|Xiao Jianhua + 89 Democratic Movement
肖建華+八九民運|Xiao Jianhua + 89 Democratic Movement
黄琦+维权人士+六四天网|Huang Qi + Rights Defender + June 4 Tianwang
酷刑+维权律师+高智晟|Torture + Rights Lawyer + Gao Zhisheng
习近平+中共暴政|Xi Jinping + CCP Repressive Regime
習近平+中共暴政|Xi Jinping + CCP Repressive Regime
肖建华+近平|Xiao Jianhua + Jinping
肖建華+近平|Xiao Jianhua + Jinping
天安门+博物馆北侧+交通事故|Tiananmen + North of (National) Museum + Traffic Accident
天安門+博物館北側+交通事故|Tiananmen + North of (National) Museum + Traffic Accident
权力斗争+习近平+太子党|Power struggle + Xi Jinping + Princeling
權力鬥爭+習近平+太子黨|Power struggle + Xi Jinping + Princeling
习近平+习家军+忠于自己|Xi Jinping + Xi's Army + Loyal to Himself
大抓捕+709+谢阳+维权律师|Mass Arrest + 709 + Xie Yang + Rights Lawyer
大抓捕+709+謝陽+維權律師|Mass Arrest + 709 + Xie Yang + Rights Lawyer
胡石根+大抓捕+秘密审判|Hu Shigen + Mass Arrest + Secret Interrogation
709大抓捕+人权捍卫者+剥夺会见权|709 Mass Arrest + Human Rights Defender + Deprived of Right to Meet
失联+曾飞洋+劳工|Lost Contact + Zeng Feiyang + Labour
709+大抓捕+指定居所监视|709 + Mass Arrest + Residential Confinement at Designated Residence
中国大陆+王全璋的妻子+家属的打压|Mainland China + Wang Quanzhang's Wife + Harassement on Relatives
须有的构陷+江天勇+报复和打压|Unfounded framing + Jiang Tianyong + Revenge and Surpression
須有的構陷+江天勇+報復和打壓|Unfounded framing + Jiang Tianyong + Revenge and Surpression
探望江天勇+中国当局+有些顾忌|Visit Jiang Tianyong + Chinese Authorities + Some Concerns
看望遭羁押+起诉公安部+江天勇|Visit Detained + Sue Ministry of Public Security + Jiang Tianyong
李文足+消除影响+颜色革命|Li Wenzu + Eliminate Ill Effects + Color Revolution
李文足+消除影響+顏色革命|Li Wenzu + Eliminate Ill Effects + Color Revolution
王峭岭+中共+709大抓捕|Wang Qiaoling + CCP + 709 Mass Arrest
王峭嶺+中共+709大抓捕|Wang Qiaoling + CCP + 709 Mass Arrest
中共暴政+唐荆陵+家属被打压|CCP Tyrannical Rule + Tang Jingling + Relatives Are Suppressed 
中共暴政+唐荊陵+家屬被打壓|CCP Tyrannical Rule + Tang Jingling + Relatives Are Suppressed 
习近平独裁+特朗普+任意逮捕记者|Xi Jinping Autocracy + Trump + Arrest Journalists Arbitrarily
習近平獨裁+特朗普+任意逮捕記者|Xi Jinping Autocracy + Trump + Arrest Journalists Arbitrarily
张德江+中央唯一支持的人选+钦点|Zhang Dejiang + The Only Candidate Approved by Central Government + Appointed
天安门+恐怖袭击+翻车|Tiananmen Square + Terrorist Attack + Car Accident
颠覆国家政权+中国人权+秦永敏|Subvert State Power + China Human Rights + Qin Yongmin
中国人权+批评中国政府|China Human Rights + Criticize Chinese Government
肖建华+中共权斗+曾庆红|Xiao Jianhua + CCP Power Struggle + Zeng Qinghong
肖建華+中共權鬥+曾慶紅|Xiao Jianhua + CCP Power Struggle + Zeng Qinghong
江泽民+曾庆红+大老虎|Jiang Zemin + Zeng Qinghong + Big Tiger
肖建华+声明+被绑架+被删除|Xiao Jianhua + Statement + Abducted + Deleted
肖建華+聲明+被綁架+被刪除|Xiao Jianhua + Statement + Abducted + Deleted
肖建华+邓家贵|Xiao Jianhua + Deng Jiagui
肖建華+鄧家貴|Xiao Jianhua + Deng Jiagui
央妈的智慧之处+财务欺诈+自家那本帐|Wisdom of Central Mother (People's Bank of China) + Accounting Fraud + Own Accounting Books
央媽的智慧之處+財務欺詐+自家那本帳|Wisdom of Central Mother (People's Bank of China) + Accounting Fraud + Own Accounting Books
中共19大+习近平+第二个任期+如何强硬|CCP 19th Party Congress + Xi Jinping + Second Term + How Strong
江泽民时期+放纵腐败+胡锦涛+被架空|Jiang Zemin Period + Give Corruption on a Loose Rein + Hu Jintao + Power taken away
龙镇洋辞职信+加速再文革+政治体制+破灭|Long Zhenyang Resignation Letter + Accelerate Cultrual Revolution Again + Political Reform + Disillusion
重回文革+龙镇洋+寻求政治庇护|Return to Cultural Revolution + Long Zhenyang + Seek Political Assylum
重回文革+龍鎮洋+尋求政治庇護|Return to Cultural Revolution + Long Zhenyang + Seek Political Assylum
乌坎关注团+打着党旗+庄烈宏|Wukan Concerned Group + Bring Party Flag + Zhuang Liehong
芮成钢+中国当局+周强胡吹海吹|Rui Chenggang + Chinese Authorities + Zhou Qiang Brags
芮成鋼+中國當局+周強胡吹海吹|Rui Chenggang + Chinese Authorities + Zhou Qiang Brags
威胁中共+下令媒体避免报道+特朗普不利|Threaten CCP + Order Media To Avoid Reporting + Critical of Trump
威脅中共+下令媒體避免報道+特朗普不利|Threaten CCP + Order Media To Avoid Reporting + Critical of Trump
习近平+煽动民粹+专制者的惯用|Xi Jinping + Incite Nationalism + Authocrats' Frequently-used (techniques)
習近平+煽動民粹+專制者的慣用|Xi Jinping + Incite Nationalism + Authocrats' Frequently-used (techniques)
人权问题+中国+民众抗议|Human Rights Question + China + Civilian's Protest
习近平上台+对外援助+到处乱撒钱|Xi Jinping Took Office + Foreign Aid + Spent Money Randomly
特别是习近平为+提供巨额援助+老百姓抱怨|Especially Xi Jinping In Order To + Provide Enourmous Aid + People Complain
反人类+中国文革回潮+共产党的暴政|Anti-mankind + China's Cultual Revolution's Comeback + Communist Party's Tyrannical Rule
共产党暴力+中共意识形态+旅美中国民运|Communist Party's Violence + CCP Ideology + Chinese Activists Residing in US
中国政府+限制藏人旅行+刁难出国|Chinese Govt + Limit Tibetans' Travel + Create Difficulties for Going Abroad
中國政府+限制藏人旅行+刁難出國|Chinese Govt + Limit Tibetans' Travel + Create Difficulties for Going Abroad
被关押+贾庆林|Under Custody + Jia Qinglin 
不重王道+政治控制毫不放松+习近平|No Emphasis on Humane Authority + Not losing Grip on Political Control + Xi Jinping
六四+镇压+屠城|June 4 + Crackdown + Massacra
权平+习近平+煽动颠覆国家政权|Kwon Pyong + Xi Jinping + Subversion of State Power
權平+習近平+煽動顛覆國家政權|Kwon Pyong + Xi Jinping + Subversion of State Power
习包子+大撒币|Xi Bun + Big Stupid
習包子+大撒幣|Xi Bun + Big Stupid
达赖喇嘛+抗暴+西藏流亡政府|Dalai Lama + Fight Against Violence + Tibet Government In Exile
達賴喇嘛+抗暴+西藏流亡政府|Dalai Lama + Fight Against Violence + Tibet Government In Exile
肖建华+压力太大+大陆|Xiao Jianhua + Too Much Pressure + Mainland
肖建華+壓力太大+大陸|Xiao Jianhua + Too Much Pressure + Mainland
出版禁书+当局+铜锣湾书店|Publish Banned Books + Authorities + Causeway Bay Bookstore
习子规|Standards for being a Good Xi's Pupil and Child
習子規|Standards for being a Good Xi's Pupil and Child
红军小学+洗脑教育+中共军队|Red Army Primary School + Brainwashing Education + CCP Army
紅軍小學+洗腦教育+中共軍隊|Red Army Primary School + Brainwashing Education + CCP Army
皮山+袭击+出事|Pishan + Attack + Incident
维权组织+新疆的高压政策+地区动荡|Rights Organizations + Xinjiang's Restrictive Policies + Regional Turmoil
暗杀同父+毒针杀害+金正日|Assasinate Same Father('s son) + Killed by Poisonous Needle + Kim Jong-il
暗殺同父+毒針殺害+金正日|Assasinate Same Father('s son) + Killed by Poisonous Needle + Kim Jong-il
皮山+暴恐+击毙|Pishan + Terrorist Attack + Shot Death
政府强烈制止+不许碰金正男+中国当局|Govt Strongly Stops + No Touchign Kim Jong-nam + Chinese Authorities
政府強烈制止+不許碰金正男+中國當局|Govt Strongly Stops + No Touchign Kim Jong-nam + Chinese Authorities
中共决策层+特殊权力结构+攫取财富|CCP Decision-making personale + Special Power Structure + Rip Profits
中共決策層+特殊權力結構+攫取財富|CCP Decision-making personale + Special Power Structure + Rip Profits
金正恩下令+刺杀自己的兄长+黄映镜教授|Kim Jong-un Ordered + Assassinate one's own brother + Professor Balbina Hwang
金正恩下令+刺殺自己的兄長+黃映鏡教授|Kim Jong-un Ordered + Assassinate one's own brother + Professor Balbina Hwang
异议人士+黑影幢幢+中共政权|Dissident + Flickering shadows + CCP Authorities
異議人士+黑影幢幢+中共政權|Dissident + Flickering shadows + CCP Authorities
对权力构成挑战+独裁统治+取代金正恩|Post Challenges to Power + Autocratic Rule + Replace Kim Jong-un
對權力構成挑戰+獨裁統治+取代金正恩|Post Challenges to Power + Autocratic Rule + Replace Kim Jong-un
powerful+Chinese+Xi+leader|
独裁的金氏政权+沮丧与失望+受到北京的保护|Autocratic Kim's Regime + Upset and Disappointed + Protected by Beijing
獨裁的金氏政權+沮喪與失望+受到北京的保護|Autocratic Kim's Regime + Upset and Disappointed + Protected by Beijing
退伍老兵+军委大楼+维权+进京上访|Retired Veteran +  (Central)  Military Commission Building + Defend Rights + Go to Beijing to Petition
奥斯卡自由人权奖+王宇律师+维权人士|Oscars Freedom & Human Rights Awards + Lawyer Wang Yu + Rights Defender
激烈反弹+曾俊华当选+中央将不会任命+质疑选委|Severe Blowback + Tsang Chun-wah Gets Elected + Central (Govt) Won't Appoint + Question Election Committee
激烈反彈+曾俊華當選+中央將不會任命+質疑選委|Severe Blowback + Tsang Chun-wah Gets Elected + Central (Govt) Won't Appoint + Question Election Committee
江派+梁振英|Jiang (Zemin) Clique + Leung Chun-ying
法学界人士+联名要求+周强下台|Jurisprudence Professionals + Signed (a open letter) to demand + Zhou Qiang to Step Down
中国退伍军人+维权+八一大楼|Chinese Retired Military Veteran + Defend Rights + 81 Building
不忘抗争+习近平+中国女政治犯|Don't Forget to Fight + Xi Jinping + Chinese Female Political Criminals
习近平+诺贝尔和平奖+刘晓波|Xi Jinping + Nobel Peace Prize + Liu Xiaobo
王岐山+江系+曾庆红+调查+架空|Governor of Yunnan Province + Scandal of Wrongly Prouncing Characters + Fu You Lake
雲南省長+讀錯字醜聞+撫優湖|Governor of Yunnan Province + Scandal of Wrongly Prouncing Characters + Fu You Lake
宽衣通商+镇越铁路|Loosen Clothes and Smooth Business + Zhen Yue Railway
寬衣通商+鎮越鐵路|Loosen Clothes and Smooth Business + Zhen Yue Railway
习近平+江系|Xi Jingping + Jiang Clique
習近平+江系|Xi Jingping + Jiang Clique
退役军人+中纪委+任国强|Military Veterans + Central Discipline and Inspection Committee + Ren Guoqiang
访民黄伦+撬门抄家+北京上访|Petitioner Huang Lun + Break In and Confiscate Things at Home + Petition in Beijing
訪民黃倫+撬門抄家+北京上訪|Petitioner Huang Lun + Break In and Confiscate Things at Home + Petition in Beijing
政策的牺牲品+梁振英的维稳+中共改造|Sacrifice for Policy + Lueng Chun-ying's Stability Maintenance (Tool) + CCP Reform
街头政治+大陆横行霸道+中共红二代|Street Politics + Mainland Bullies + CCP 2nd Red Generation
街頭政治+大陸橫行霸道+中共紅二代|Street Politics + Mainland Bullies + CCP 2nd Red Generation
党报和五毛+中共念念不忘+改造香港|Party Newspaper + Fifty-cent (Party) + CCP Never Forgets + Change Hong Kong
黨報和五毛+中共念念不忘+改造香港|Party Newspaper + Fifty-cent (Party) + CCP Never Forgets + Change Hong Kong
政治歌+彭丽媛并立+高层雷厉风行|Politcal Songs + Peng Liyuan Parallel + High Level (carries out a task) resolutely and swiftly
中共官员+抛弃统战+难逞所愿|CCP Officials + Abandon United Front + Difficult to Fulfil One's Wish
两会疯狂维稳+截访者+冲击旅馆+韩素华仰药|Two Sessions Crazy about Maintaining Social Stability + Petition Stoppers + Attack Hotels + Han Suhua Drinks Poisonous Drugs 
兩會瘋狂維穩+截訪者+衝擊旅館+韓素華仰藥|Two Sessions Crazy about Maintaining Social Stability + Petition Stoppers + Attack Hotels + Han Suhua Drinks Poisonous Drugs 
沙雅监狱+张海涛+期满考试合格|Shayar/Xayar Jail + Zhang Haitao + (Jail) Time Finished and Pass The (Reeducation) Exam 
沙雅監獄+張海濤+期滿考試合格|Shayar/Xayar Jail + Zhang Haitao + (Jail) Time Finished and Pass The (Reeducation) Exam 
新疆当局+张海涛+良心犯|Xinjiang Authorities + Zhang Haitao + Criminals with Conscience
低级的算法+暗批中国制裁+朝中社署名|Low-grade Calculation + Indirectly Criticize China's Sanctions (against North Korea) + Korean Central News Agency
中国右派+夹边沟祭事+公开放映|Chinese Rightist + Jiabiangou Elegy + Public Screening
国际特赦+世界报告+西藏人权|Amnesty International + World Report + Tibet Human Rights
國際特赦+世界報告+西藏人權|Amnesty International + World Report + Tibet Human Rights
境内藏人+中共的打压+政治犯数据库|Tibetans Within (Chinese) Borders + CCP's Crackdown + Database of Political Criminals
境內藏人+中共的打壓+政治犯數據庫|Tibetans Within (Chinese) Borders + CCP's Crackdown + Database of Political Criminals
郭树清+充满欺诈+金融系统|Guo Shuqing + Full of Fraud + Financial System
曾荫权+大陆的官员+大大清官|Donald Tsang + Mainland Officials + Big Clean Official
政治目标+被我们忽视+深度官僚|Political Goals + Ingored by Us (in the West) + Deepply Bureaucratic
政治目標+被我們忽視+深度官僚|Political Goals + Ingored by Us (in the West) + Deepply Bureaucratic
power+Xiaoping+authoritarian|
金家王朝+指责中国+中朝关系的恶化|Kim Dynasty + Accused China + Sino-DPRK Relations Worsen
Jinping+erratic+ruling+Kim+dynasty|
德国之声+习近平+红色紧箍咒|Deutsche Welle + Xi Jinping + Red Incantation
支持达赖|Support Da Lai
访民曾宪武+中共镇压+此次两会|Petitioner Zeng Xianwu + CCP Crackdown + This (year's) Two Sessions
訪民曾憲武+中共鎮壓+此次兩會|Petitioner Zeng Xianwu + CCP Crackdown + This (year's) Two Sessions
特首梁振英+进政协+引发争议|Chief Executive Leung Chen-ying + Enter (Chinese People's) Political Consultative Conference + Cause Controversy
张书国仕途+清毒工作+肃清郭徐|Zhang Shuguo Political Careet + Cleansing + Clean Up Guo (Boxiong) Xu (Caihou)
張書國仕途+清毒工作+肅清郭徐|Zhang Shuguo Political Careet + Cleansing + Clean Up Guo (Boxiong) Xu (Caihou)
权力过渡+一个中国+非要受制|(Trump's) Power Transition + One China (Policy) + (Why) Have to Be Restrained By
谭晶已转入+云南代表团+军改大裁员|Tan Jing Has Transferred to + Yunnan Delegate + Army Reform and Layoff
全面被禁+人大代表+约合3万亿+德国之声|All Banned + Represtatives of National People's Congress + About 4000 Billion (Yuan) + Deustche Welle
全面被禁+人大代表+約合3萬億+德國之聲|All Banned + Represtatives of National People's Congress + About 4000 Billion (Yuan) + Deustche Welle
人权迫害+习近平+极端压制|Persecute Human Rights + Xi Jinping + Extreme Crackdown
习近平+富翁代表+巨额财富|Xi Jinping + Rich Representatives + Huge Amount of Wealth
香港26名+俞正声+反对梁振英|Hong Kong 26 (legislators) + Yu Zhengsheng + Oppose Leung Chun-ying
共产党+能保持稳定+地震可能不会|CCP + Can Remain Stable + Shakeup Might Not (Come)
习近平是否+巩固自己+新领导层的控制|Whether Xi Jinping Can + Consolidate Himself + Control over New Leadership 
共产党+领导人的权力+持着一种约束|CCP + Leader's Power + (Maintain) a Restrain 
虽然习近平+新领导层+交易的牺牲品|Although Xi Jinping + New Leadership  + Sacrifice of Trade
邓茂生的说法+最高层的意见+没有报道|Deng Maosheng's Statement + Opinions from the Top-level Leadership + (Chinese media) didn't report
习近平+政治皮影戏+想象的傲慢|Xi Jingping + Political Shadow Play + (Un)imaginable Arrogance
彭博社报道+邓茂生说+七上八下|Bloomberg Report + Deng Maosheng Says + 7(0-years-old) Took Office 8(0-years-old) Retired
王岐山的猜测+10月开始+年龄的规定|Wang Qishan's Guess + Starting from October + Rules about Age
习近平+曾在+年龄的规定不是绝对的|Xi Jinping + Once At + Rulse About Age Is Not Absolute
习近平+曾淡化+七上八下的规定|Xi Jinping + Weakened + Rules on "7(0-years-old) Took Office 8(0-years-old) Retired"
习近平+还没+王岐山留任+发出了信号|Xi Jinping + Not Yet + Wang Qishan Keeps Position + Sent Signal
王岐山放弃+他担任过+混乱的政府|Wang Qishan Gave Up + He Assumed Office As + Chaotic Govt
王岐山+党威权统治+深红色信念|Wang Qishan + Party's Authoritarian Rule + Dark Red Faith
王岐山+麦卡维尔+只不过+国家控制之下的系统的效率|Wang Qishan + McArver + (He) Is Only + Efficiency of the System Under State Control
负债累累+习近平可能+王岐山担任总理|High In Debt + Xi Jingping May + (Let) Wang Qishan Be Prime Minister
替换李克强+重启停滞+改革提供|Replace Li Keqiang + Restart Stagnatic (Reform) + Offer Reform (an Opportunity)
邓聿文说+让王岐山+让出这个权力|Deng Jinwen Said + Let Wang Qishan (Have More Say over Economic Policy) + (Xi Jinping Might Not) Let Go of Power
李克强+都做不成+权力不在他手|Li Keqiang + Not Able to Do (many things) + Power Not In His Hands
退休官员说+王岐山曾+应对未预料|Retired Official Said + Wang Qishan Once (said to his friends) + Handle Unexpected (tasks)
王岐山+网上泄露出来+党叫干啥|Wang Qishan + (Speech Video) Leaked on the Internet + (Do As) The Party Says
互相矛盾+显得尴尬+中国+双重标准|Contradict itself + Seems Embarassing + China + Double Standards
习近平+西方舆论大多解释+更重要的是国王|Xi Jinping + Opinions in the West Mostly Considered + Emperor Is More Important
習近平+西方輿論大多解釋+更重要的是國王|Xi Jinping + Opinions in the West Mostly Considered + Emperor Is More Important
十九大+习近平+迫切地打造个人舞台|19th Party Congress + Xi Jinping + Eagerly Build His Personal Show
习近平+不以为然+不想误导民众|Xi Jinping + Doesn't Take It Seriously + Don't Want To Mislead People
習近平+不以爲然+不想誤導民衆|Xi Jinping + Doesn't Take It Seriously + Don't Want To Mislead People
努力表演+习近平+显然并不买账|Try Playing Along + Xi Jinping + Clearly Does Not Care
努力表演+習近平+顯然並不買賬|Try Playing Along + Xi Jinping + Clearly Does Not Care
两会明星+宣传部门的批评+朝圣仪典|Celebrities at the Two Sessions + Criticized by Propaganda Department + Pilgrimage Ceremony
兩會明星+宣傳部門的批評+朝聖儀典|Celebrities at the Two Sessions + Criticized by Propaganda Department + Pilgrimage Ceremony
中国大陆在发展对台政策的过程中+BBC中文网+不予回应|Mainland China In the Process of Developing Its Taiwan Policy + BBC Chinese + No Response
习近平第一个任期的成绩单|Track Record of Xi Jinping's First Term
习近平+程序的承诺+支持者满怀信心|Xi Jinping + Pledges to (cut) Red Tape + Proponents Take Heart
乐观情绪+信贷的规模+小变化+习近平|Optimism (has faded) + scale of (government-steered) lending + Small Changes + Xi Jinping
习近平+臭名昭著的一孩政策+强迫堕胎|Xi Jinping + Notorious One-Chind Policy + Forced Abortions
習近平+臭名昭著的一孩政策+強迫墮胎|Xi Jinping + Notorious One-Chind Policy + Forced Abortions
习近平+经济改革+只是一纸空头支票|Xi Jinping + Economic Reforms + An Empty Cheque
習近平+經濟改革+只是一紙空頭支票|Xi Jinping + Economic Reforms + An Empty Cheque
习近平+口头上谈改革+紧紧抓住权力|Xi Jinping + Pay Lip Service to Reform + Tighten Grip on Power
習近平+口頭上談改革+緊緊抓住權力|Xi Jinping + Pay Lip Service to Reform + Tighten Grip on Power
并不掩饰+对习近平+没有付现的失望|Do Not Disguise + Towards Xi Jinping + Disappointment about Not Realizing (Reforms)
並不掩飾+對習近平+沒有付現的失望|Do Not Disguise + Towards Xi Jinping + Disappointment about Not Realizing (Reforms)
要倒回来+习近平+承诺的改革+面前退缩|Reversal of (Strides) + Xi Jinping + Promised Reforms + Flinch From (Harder Changes)
要倒回來+習近平+承諾的改革+面前退縮|Reversal of (Strides) + Xi Jinping + Promised Reforms + Flinch From (Harder Changes)
经济衰退+习近平+最大疑问+逃离中国|Steeper Economic Slowdown + Xi Jinping + Biggest Questions + (Capital) Leave China
經濟衰退+習近平+最大疑問+逃離中國|Steeper Economic Slowdown + Xi Jinping + Biggest Questions + (Capital) Leave China
习近平+债务上升+不会得到+变得更糟|Xi Jinping + Rising Debt + Will Not Be (Solved) + Get Worse
習近平+債務上升+不會得到+變得更糟|Xi Jinping + Rising Debt + Will Not Be (Solved) + Get Worse
习近平执政+亿万富翁+成为了立法者|Under the Rule of xi Jinping + Billionares + Became Lawmakers
人大和政协+富有的成员+习近平上台|NPC and CPPCC + Wealthy Members + Xi jingping Took Power
人大的代表+没有太大实权+交际的地方|Members of National People's Congress + Do Not Have A Lot of Power + A Place for Networking
党开始欢迎+富人成员加入+增强权威性|Party Begins Welcoming + Rich Members Join + Strengthen Authorities
中国制造+德新社援引+要排挤外国|Made In China + Deutsche Presse-Agentur + Single Out Foreign Countries
中国政府+维稳+下岗工人+苦求生存|Chinese Govt + Maintain (Social) Stability + Laid-off Workers + Beg for Living
中國政府+維穩+下崗工人+苦求生存|Chinese Govt + Maintain (Social) Stability + Laid-off Workers + Beg for Living
罗富和+公开批评+网路审查制度|Luo Fuhe + Openly Criticized + Internet Censorship
羅富和+公開批評+網路審查制度|Luo Fuhe + Openly Criticized + Internet Censorship
罗富和+公开批评+严密的网路审查|Luo Fuhe + Openly Criticized + Internet Censorship
羅富和+公開批評+嚴密的網路審查|Luo Fuhe + Openly Criticized + Internet Censorship
不透明的+军费+北京要瞒|Non-transparent + Military Spending + Beijing Tries to Hide
不透明的+軍費+北京要瞞|Non-transparent + Military Spending + Beijing Tries to Hide
制裁韩国+北京+显得无能|Sanction South Korea + Beijing + Appears Impotent
制裁韓國+北京+顯得無能|Sanction South Korea + Beijing + Appears Impotent
部署萨德+反对一个中国+抗议的套路|Deploy THAAD + Oppose One-China (Policy) + (Chinese) Patterns of Protest
独立候选人+遭到打压+北京|Independent Candidates + Faced with Crackdown + Beijing
疫苗安全+公民提案+呼吁提升+政府应当尽早|Safety of Vaccines + Citizen Proposal + Adocate Upgrading (safety) + Govt Should Soon
中共当局拘捕+传唤骚扰+示威者|CCP Authorities Arrested + Summon and Harrass + Protesters
屠杀藏人|Murder Tibetans
掌握在中央政府+非常不民主+中央内定的人选|Controlled by Central Govt + Very Not Democratic + Pre-picked by Central (Govt)
掌握在中央政府+非常不民主+中央內定的人選|Controlled by Central Govt + Very Not Democratic + Pre-picked by Central (Govt)
鲍彤+习近平+政治上他要求的集权|Bao Tong + Xi Jinping + The Centralized Political Power He Demanded 
人权状况+人权报告+西藏|Human Rights Status + Human Rights Report + Tibet
人權狀況+人權報告+西藏|Human Rights Status + Human Rights Report + Tibet
压制+中国政府+达赖喇嘛|Restrain + Chinese Government + Dalai Lama
同床异梦+习近平+一身的权力+乏善可陈|Sleep in the same bed but dream different dreams + Xi Jinping + All the Power (He) Holds + Have Nothing Good to Report
萨德+入韩标志东北亚+形成冷战式敌对|THAAD + Deployed in Korea Signals Northeast Asia + Forms Cold War-style Adversary
抵制乐天+政府操纵+早上恨美国|boycott LOTTE + Government Manipulation + In the mornings (we) hate America
抵制樂天+政府操縱+早上恨美國|boycott LOTTE + Government Manipulation + In the mornings (we) hate America
血洗中国+反恐维稳+中国当局|Shed Blood in China + Anti-Teorrism and Stability Maintenance + Chinese Authorities
血洗中國+反恐維穩+中國當局|Shed Blood in China + Anti-Teorrism and Stability Maintenance + Chinese Authorities
网络长城+屏蔽了政治敏感+全面解禁|Interent Great (Fire) Wall + Block Politically Sensitive + Lift the ban overall
網絡長城+屏蔽了政治敏感+全面解禁|Interent Great (Fire) Wall + Block Politically Sensitive + Lift the ban overall
天朝主义+中国专制极权+政治压力|Celestial Dynasty + China's Autocratic Totalitarianism + Political Pressure
天朝主義+中國專制極權+政治壓力|Celestial Dynasty + China's Autocratic Totalitarianism + Political Pressure
李平+香港新闻自由+天朝主义|Li Ping + Hong Kong's Press Freedom + Celestial Dynasty
李平+香港新聞自由+天朝主義|Li Ping + Hong Kong's Press Freedom + Celestial Dynasty
裙带资本+邓小平经济+专制模式|Crony Capital(ism) + Deng Xiaoping Economy + Authoritarian Model
裙帶資本+鄧小平經濟+專制模式|Crony Capital(ism) + Deng Xiaoping Economy + Authoritarian Model
首尔威胁+中共的报复+本来面目|Made Threats in Soeul + CCP's Retaliation + (Revealed) True Color
做着中国梦+净捡软的捏+祖国让我恨谁|Having "Chinese Dream" + Pick off the weak members of the herd + (I'd hate whomever that) My Motherland Makes Me Hate
既得利益者+异议人士+两会拍手+中共|People With Vested Interest + Dissident + Clap for Two Sessions + CCP
既得利益者+異議人士+兩會拍手+中共|People With Vested Interest + Dissident + Clap for Two Sessions + CCP
李克强+公开信|Li Keqiang + Open Letter
李克強+公開信|Li Keqiang + Open Letter
梁振英的名牌+握手寒暄+香港民主派|Leung Chun-ying's Name Tag + Handshake And Greetings (With Xi Jinping) + Hong Kong Demoncrats
两会的气氛+薄熙来倒台+对中共而言|Atmosphere of Two Sessions + Bo Xilai's Downfall + To CCP
薄熙来路线+习近平+区别於邓江胡|Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)
薄熙來路線+習近平+區別於鄧江胡|Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)
